Back,,,,Chrome,Firefox,IE,,,,,,
Screen,,"Báo giá
Create",Passed,266,0,0,,,,,,
Create Date,,7-Apr-2026,Failed,97,0,0,,,,,,
Creator,,NGUYEN THI MY DUYEN,Not Tested ,97,0,0,,,,,,
Last Update,,7-Apr-2026,Cancelled,0,0,0,,,,,,
,,,,,,,Results browser,,,,,
TestCase ID, Category ,Test Execution,Test Inputs,Expected,Create Date,Modify Date,Chrome,Firefox,IE,Excuted Date,Excuted by,Notes
ID_001," GUI ""THÊM MỚI""
(Graphical User Interface) ",Kiểm tra mở màn hình,"1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Mở thành công
- Font Lexend
- Route: https://admin-qc.digiretail.myminds.net/objects/list/quotation
- Màn hình dùng đề xuất giá và điều kiện bán hàng cho khách trước khi chốt đơn, làm cơ sở đàm phán và chuyển thành đơn hàng khi được duyệt",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_002,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 1 ""Thông tin chung""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
+ Gồm 24 field:
     ++ Hàng 1: ""Mã báo giá"", ""Tên báo giá"", ""Người phụ trách"", ""Số báo giá""
     ++ Hàng 2: ""Loại báo giá"", ""Khách hàng"", ""Tiền tệ"", ""Bảng giá""
     ++ Hàng 3: ""Số thập phân của giá"", ""Sale phụ trách"", ""Ngày báo giá"", ""Tạo hợp đồng""
     ++ Hàng 4: ""Hiệu lực từ"", ""Hiệu lực đến"", ""BU bán hàng"", ""Tổng tiền trước thuế""
     ++ Hàng 5: ""Phí vận chuyển"", ""Phí bốc xếp"", ""Tổng phí vận chuyển, bốc xếp"", ""Tổng thuế""
     ++ Hàng 6: ""Tổng tiền sau thuế"", ""Mô tả"", ""Ghi chú"", ""Đơn vị tổ chức"" 
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_003,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 2 ""Thông tin khách hàng""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
+ Gồm 1 field:
     ++ Hàng 1: ""Tên khách hàng""
- Button ""Thêm báo giá""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_004,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 3 ""Thông tin thanh toán""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Button ""Thêm báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_005,,"Kiểm tra cách bố trí, sắp xếp các field trên page và các chức năng phải có
Group 4 ""Thông tin xuất hóa đơn""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","Follow the design path: https://www.figma.com/design/mT9RqCLN0gGrFOgQFWxdHz/-Web--Client-Portal?node-id=21319-92932&p=f&t=hLzOcPwrq6hA4bCu-0
- Cách bố trí, sắp xếp các field:
- Popup title: ""Thêm báo giá""
- Title bản ghi được chọn <nếu có 1 bản ghi thì default, nếu có 2 thì cho phép chọn>
- Group 1 ""Thông tin chung"":
- Group 2 ""Thông tin khách hàng"":
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hoá đơn"":
+ Gồm 7 field:
     ++ Hàng 1: ""Ngân hàng tham chiếu tỷ giá"", ""Tỷ giá tham chiếu"", ""Tỷ giá"", ""Tài khoản xuất hóa đơn"" 
     ++ Hàng 2: ""Tên xuất hóa đơn"", ""Địa chỉ xuất hóa đơn"", ""Mã số thuế xuất hóa đơn""
- Button ""Thêm báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
